epoch,train_loss,train_pixel,train_edge,val_loss,val_psnr,val_ssim,lr
82,0.030253,0.021974,0.082786,0.033895,29.6509,0.762944,8.32e-05
83,0.030224,0.021953,0.082715,0.033373,29.7465,0.762082,8.28e-05
84,0.030298,0.022003,0.082950,0.033398,29.7421,0.760755,8.25e-05
85,0.030233,0.021962,0.082712,0.033364,29.7612,0.762665,8.21e-05
86,0.030267,0.021975,0.082921,0.033376,29.7323,0.760051,8.17e-05
87,0.030291,0.021991,0.082997,0.033351,29.7634,0.762254,8.12e-05
88,0.030308,0.022004,0.083032,0.033381,29.7453,0.761883,8.08e-05
89,0.030296,0.022000,0.082954,0.033412,29.7187,0.760882,8.04e-05
90,0.030169,0.021918,0.082509,0.033369,29.7413,0.761200,8.00e-05
91,0.030249,0.021969,0.082801,0.033363,29.7619,0.762779,7.96e-05
92,0.030214,0.021943,0.082712,0.033384,29.7666,0.762223,7.92e-05
93,0.030201,0.021940,0.082609,0.033356,29.7455,0.761275,7.88e-05
94,0.030212,0.021945,0.082667,0.033354,29.7341,0.761290,7.83e-05
